order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,total_payment,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,product_category_name_english
b7d794a0d512566c47d3ffb585bb3805,970922c6488462df7d8b02576a219263,delivered,2018-08-15 12:20:55,2018-08-15 12:35:25,2018-08-15 12:34:00,2018-08-18 01:44:44,2018-08-28 00:00:00,55fce1ba5ed536b6b60c5b799815f45c,8745,mogi das cruzes,SP,111.35,1.0,4608a449f45011c89095f36265e75ec3,dc7192adf8ba09569261f4a8d576afe0,2018-08-17 12:35:25,98.0,13.35,portateis_casa_forno_e_cafe,58.0,1257.0,1.0,450.0,16.0,20.0,16.0,18401.0,itapeva,SP,small_appliances_home_oven_and_coffee
8299af0d040bc54540e8c6a35046e99f,44329a3f1ba0c869822c4c7f921012d1,delivered,2018-08-04 12:12:10,2018-08-04 12:25:19,2018-08-07 13:34:00,2018-08-14 17:33:50,2018-08-23 00:00:00,3d2af73eb54f22fa880d1523e4b9a6c7,38081,uberaba,MG,115.54,1.0,4a37fea9a17c3cb688dc22802a698a80,ce248b21cb2adc36282ede306b7660e5,2018-08-08 12:25:19,87.97,27.57,cool_stuff,53.0,1187.0,4.0,1400.0,30.0,4.0,30.0,89251.0,jaragua do sul,SC,cool_stuff
ac9ded1f3d754d8a13787ff88fd7b4f1,f2d18d44a6dfaa9be63649d65041d038,delivered,2017-12-01 14:27:39,2017-12-05 04:12:06,2017-12-11 21:12:57,2017-12-27 21:33:32,2017-12-28 00:00:00,5a0fd5d12f969cf5b9f81b5e6798955b,27540,resende,RJ,66.01,1.0,7d88b5bdd4a526aef4368cc593209f42,8ff1a9df749e454105c55cda13e79143,2017-12-11 04:12:06,49.9,16.11,construcao_ferramentas_construcao,50.0,177.0,1.0,617.0,21.0,10.0,21.0,17509.0,marilia,SP,construction_tools_construction
c076716e911ff533f3dd8bb44258c8c1,08229f16b28c06a71f944460ba624c03,delivered,2018-02-25 19:14:56,2018-02-25 19:30:38,2018-02-28 01:28:56,2018-03-17 00:37:41,2018-03-22 00:00:00,0d7fbd39438e69def9eaa3cabf448c7b,75650,morrinhos,GO,56.92,1.0,8d723f8940f0c575be59e3dbbded3089,9fc70243fb26800cba56e8f014797004,2018-03-01 19:30:30,39.0,17.92,beleza_saude,50.0,1398.0,1.0,150.0,20.0,10.0,15.0,30270.0,belo horizonte,MG,health_beauty
945dd5fdb173f89e1e87a833291b468e,eadaeca94cdf0c4d48a937d43155953b,delivered,2018-02-27 21:07:07,2018-02-27 21:15:43,2018-03-01 14:44:42,2018-03-08 21:01:51,2018-03-19 00:00:00,8f701c9efe7079f425c94d34b0b533ce,13160,artur nogueira,SP,28.75,1.0,0d12d1b700e15453260b6cbc961c04e8,6a8b085f816a1f75f92dbac6eb545f8f,2018-03-05 21:15:43,16.9,11.85,automotivo,55.0,385.0,2.0,50.0,20.0,4.0,14.0,14709.0,bebedouro,SP,auto
4d59391202a2a67c2e2fea6f349a67f5,7030ef488b9f80599046408a5de28cca,delivered,2018-08-13 13:14:03,2018-08-13 13:25:14,2018-08-15 13:42:00,2018-08-17 13:37:42,2018-08-22 00:00:00,81040442e9807c1aaf2e621ef05c1c7e,7193,guarulhos,SP,266.28,2.0,69455f41626a745aea9ee9164cb9eafd,bce6a5ecf98e99fd2a8868b15c51f04b,2018-08-21 13:25:14,125.0,8.14,relogios_presentes,41.0,408.0,2.0,501.0,18.0,13.0,14.0,7180.0,guarulhos,SP,watches_gifts
7eceac74a363199f9c55074132fb8641,bc8910a25e3275b36bef3f8ee1578b14,delivered,2017-10-27 19:42:17,2017-10-28 02:55:51,2017-10-30 19:06:53,2017-10-31 18:52:09,2017-11-09 00:00:00,957409de18d2d2dc5212f624e7d10ba0,9921,diadema,SP,29.76,1.0,d493f5a208254fe85b3ab55d898461a1,9b013e03b2ab786505a1d3b5c0756754,2017-11-03 02:55:51,20.49,9.27,alimentos,60.0,3725.0,6.0,675.0,28.0,15.0,15.0,11450.0,vicente de carvalho,SP,food
230a015f541602e3e910d230e610f110,09e4734a1345b89246cd9f4bd63b549f,delivered,2017-06-12 16:38:33,2017-06-12 16:55:18,2017-06-13 16:37:23,2017-06-16 16:13:40,2017-06-26 00:00:00,12f73aed4941f539940f485d0708b36a,3112,sao paulo,SP,279.7,1.0,db5efde3ad0cc579b130d71c4b2db522,7e93a43ef30c4f03f38b393420bc753a,2017-06-16 16:55:18,269.0,10.7,audio,40.0,232.0,1.0,6663.0,17.0,11.0,13.0,6429.0,barueri,SP,audio
af2565178281d646f828c50111e00308,4c7f4eb90b99e99875f73b829f63f892,delivered,2018-04-30 20:42:07,2018-05-01 03:15:31,2018-05-02 15:25:00,2018-05-09 19:04:56,2018-06-13 00:00:00,41ae3e6c714d29506b9b6c747b0c97ce,20521,rio de janeiro,RJ,465.08,2.0,9da950e8c8c482441f1b93955b21c827,ceaec5548eefc6e23e6607c5435102e7,2018-05-14 03:15:31,209.99,22.55,cool_stuff,51.0,516.0,1.0,5200.0,37.0,20.0,34.0,3821.0,sao paulo,SP,cool_stuff
f83d61ff63b249ebaf932dc3e7e2532a,2efe3acbefcdd642ecce2d33d878fb40,delivered,2018-06-20 19:42:06,2018-06-20 19:58:10,2018-06-21 13:14:00,2018-06-28 16:03:52,2018-07-24 00:00:00,4f5dc7d759b71c6fa79c3022e2235cc5,95520,osorio,RS,34.22,1.0,dadc0d260b9adadab31c487f1749b9ad,8d956fec2e4337affcb520f56fd8cbfd,2018-06-22 19:58:10,15.99,18.23,esporte_lazer,59.0,265.0,1.0,100.0,16.0,5.0,11.0,9780.0,sao bernardo do campo,SP,sports_leisure
